ddmp_src	BXII.c.134.	Differentiation of the genera Enhydrobacter and Aeromonas
ddmp_src	BXII.c.145.	Other characteristics of selected species of the genus Pseudoalteromonas!a
ddmp_src	BXII.c.150.	Characteristics differentiating members of the Shewanella putrefaciens species complex, S. baltica, S. algae, and DNA hybridization Group III!a
ddmp_src	BXII.c.147.	Differential characteristics of Psychromonas species!a!b
ddmp_src	BXII.c.148.	Phenotypic characteristics which differentiate the species of the genus Shewanella!a
ddmp_src	BXII.c.136.	Characteristics of Alteromonas macleodii!a
ddmp_src	BXII.c.142.	Phenotypic characteristics of Marinobacter hydrocarbonoclasticus and Pseudomonas nautica!a!b!c
ddmp_src	BXII.c.143.	Differential characteristics of Marinobacterium and some aerobic, rod-shaped, marine bacteria that require NaCl to grow!a
ddmp_src	BXII.c.137.	Characteristics differentiating the species of the genus Colwellia!a
ddmp_src	BXII.c.129.	Characteristics differentiating three Gram-negative, motile, prodigiosin-producing species
ddmp_src	BXII.c.151.	Additional phenotypic characteristics of marine Shewanella species!a
ddmp_src	BXII.c.144.	Characteristics differentiating the species of the genus Pseudoalteromonas!a
ddmp_src	BXII.c.146.	Other characteristics of selected species of the genus Pseudoalteromonas!a
ddmp_src	BXII.c.138.	Other characteristics of the species of the genus Colwellia!a
ddmp_src	BXII.c.135.	Characteristics differentiating some genera belonging to the family Alteromonadaceae!a
ddmp_src	BXII.c.133.	Properties of Psychrobacter species!a
ddmp_src	BXII.c.140.	Characteristics differentiating the species of the genus Glaciecola!a
ddmp_src	BXII.c.141.	Phenotypic characterisitics differentiating the genus Marinobacter from other marine bacteria
ddmp_src	BXII.c.92.	Differentiation of Neptunomonas from some other marine naphthalene-degrading bacteria!a!b

ddmp_fntext	BXII.c.134.	a	For symbols, see standard definitions.
ddmp_fntext	BXII.c.134.	b	Only one strain has been described, and it is gas vacuolate.
ddmp_fntext	BXII.c.145.	a	For symbols see standard definitions; nd, not determined.
ddmp_fntext	BXII.c.145.	b	No information is available concerning ascorbate, oxaloacetate, hydroxy-l-proline, l-asparagine, l-glutamine, protamine, 2-deoxyribose, deoxycholate, galactitol, d-galactosamine, α-glycerophosphate, urate, and glycylglycine.
ddmp_fntext	BXII.c.150.	a	For symbols see standard definitions.
ddmp_fntext	BXII.c.150.	b	Weak reaction.
ddmp_fntext	BXII.c.147.	a	Abbreviations: +, positive; −, negative; nd, not determined; w, weak.
ddmp_fntext	BXII.c.147.	b	Data from Mountfort et al.(1998a), Kawasaki et al. (2002), Nogi et al. (2002), Groudieva et al. (2003), and Xu et al.(2003).
ddmp_fntext	BXII.c.147.	c	Extended incubation (up to 4 w) may be required.
ddmp_fntext	BXII.c.148.	a	For symbols see standard definitions; S, growth is stimulated by the presence of Na+ ions.
ddmp_fntext	BXII.c.148.	b	EPA, eicosapentaenoic acid.
ddmp_fntext	BXII.c.136.	a	Symbols: +, positive for 90% or more strains; (+), positive for 75–89% of strains; d, positive for 26–74% of strains; (–), positive for 11–25% of strains; −, positive for 0–10% of strains.
